id,report_id,label,field,type,type_params,position,is_enabled,is_crypted,created_at,updated_at
1,1,#,id,int,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
2,1,Titolo,title,string,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
3,1,Tooltip,tooltip,string,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
4,1,"Data creazione",created_at,date,NULL,20,1,0,"2021-06-22 12:05:24","2023-08-31 09:45:34"
5,1,"Data aggiornamento",updated_at,date,NULL,25,1,0,"2021-06-22 12:05:24","2023-08-31 09:45:42"
6,1,Icona,icon,string,NULL,15,1,0,"2023-08-31 09:45:13","2023-08-31 09:45:13"
7,2,#,id,link,"route:reportcol,filter:report_id,title:Vedi le colonne del report",10,1,0,"2023-08-31 09:45:13","2023-08-31 09:45:13"
8,2,Titolo,title,string,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
9,2,Menu,menu_id,enum,"table:menus,code:id,label:title",10,1,0,"2021-06-22 12:05:24","2021-07-12 11:05:50"
10,2,Route,route,string,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
11,2,Tabella,table,string,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
12,2,"Template Blade",blade,string,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
13,2,Posizione,position,int,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
14,2,Url,href_url,string,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
15,2,"Nuovi inserimenti",has_create_button,enum,reference:YN,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
16,2,Modificabile,has_edit_button,enum,reference:YN,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
17,2,"Visualizzabile nel menu",is_show_menu,switch,table:reports,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
18,2,Abilitato,is_enabled,switch,table:reports,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
19,2,"Data creazione",created_at,date,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
20,2,"Data aggiornamento",updated_at,date,NULL,10,1,0,"2021-06-22 12:05:24","2021-06-22 12:05:24"
21,3,#,id,int,NULL,10,1,0,"2021-06-26 13:14:00","2021-06-26 13:14:00"
22,3,"Report Id",report_id,enum,"table:reports,code:id,label:title",10,1,0,"2021-06-26 13:14:00","2021-06-26 13:14:00"
23,3,Label,label,string,NULL,10,1,0,"2021-06-26 13:16:17","2021-06-26 13:16:17"
24,3,"Campo tabella",field,string,NULL,10,1,0,"2021-06-26 13:18:26","2021-06-26 13:18:26"
25,3,"Tipo dato",type,string,NULL,10,1,0,"2021-06-26 13:18:26","2021-06-26 13:18:26"
26,3,"Parametri tipo",type_params,string,NULL,10,1,0,"2021-06-26 13:18:26","2021-06-26 13:18:26"
27,3,Posizione,position,int,NULL,10,1,0,"2021-06-26 13:18:26","2021-06-26 13:18:26"
28,3,"Creato il",created_at,date,NULL,10,1,0,"2021-06-26 13:18:26","2021-06-26 13:18:26"
29,3,"Aggiornato il",updated_at,date,NULL,10,1,0,"2021-06-26 13:18:26","2021-06-26 13:18:26"
30,4,#,id,int,NULL,1,1,0,"2021-06-26 13:18:26","2021-06-26 13:18:26"
